"question","answer","link"
"hi","Hi there! 😊 How can I assist you with DShare?",""
"hello","Hello! 👋 Ready to explore decentralized file sharing?",""
"what is DShare?","DShare is a blockchain-based decentralized file sharing system using Ethereum smart contracts and IPFS storage, featuring temporary encrypted chats and user moderation tools.","https://biopassportofficial.medium.com/your-ultimate-guide-to-the-rise-of-decentralized-file-sharing-networks-3cc1a2cffedd"
"how does DShare differ from Google Drive?","Unlike centralized services, DShare eliminates single points of failure through IPFS distributed storage and ensures file integrity via blockchain verification.","https://www.researchgate.net/publication/370872172_Decentralized_File_Sharing_using_Blockchain_Empowering_Peer-to-Peer_Collaboration_The_Rise_of_Decentralized_File_Sharing"
"what technologies power DShare?","Core stack: React frontend, Node.js/Express backend, MongoDB for metadata, IPFS for file storage, Ethereum blockchain with Solidity smart contracts, and VirusTotal API.",""
"how does file encryption work?","Files are encrypted before IPFS storage using AES-256, with content hashes (SHA-256) recorded on Ethereum blockchain for tamper-proof verification.",""
"what is the file size limit?","Maximum 100MB per file due to IPFS block constraints and Ethereum gas optimization. Larger file support is under development.",""
"how long do chat messages persist?","Temporary chats auto-delete after 24 hours. Only reported conversations are archived for moderation purposes.",""
"how do I report abusive users?","Click the report button in chat/file sharing interfaces. Reports trigger admin review and potential account suspension via smart contracts.",""
"what happens if an IPFS node fails?","Files are replicated across minimum 3 nodes. DShare automatically repins content to new nodes if failures occur.",""
"how does VirusTotal integration work?","All files undergo VirusTotal scanning before IPFS upload. Infected files are rejected immediately.",""
"can I share files privately?","Yes! Set permissions during upload: Public (anyone), Private (your wallet only), or Shared (specific wallet addresses).",""
"how are smart contracts used?","Contracts manage: 1) File metadata storage 2) Access permissions 3) User reporting 4) CID-based integrity verification.","https://arxiv.org/pdf/2205.01728"
"what is a Content Identifier (CID)?","Unique IPFS-generated hash acting as digital fingerprint for files, ensuring authenticity and preventing duplication.",""
"how does the hybrid storage work?","Files stored on decentralized IPFS while chat data uses temporary MongoDB storage for cost efficiency.","https://www.irjms.com/wp-content/uploads/2024/07/Manuscript_IRJMS_0925_WS.pdf"
"what happens if upload fails?","Transactions revert completely - no partial storage. You'll receive an error code with retry instructions.",""
"how to verify file integrity?","On download: 1) Generate SHA-256 hash 2) Compare with blockchain record 3) Get 'Verified' status or tamper alert.",""
"can I cancel file transfers?","Currently unavailable due to blockchain transaction finality. We're developing interruptible transfers for future release.",""
"who are the DShare developers?","Core team: Jenish Shahi (Smart Contracts), Kabin Shrestha (Backend), Sushan Aryal (Chat Systems), Sumita Sapkota (Frontend), Aabesh Alam (UI/UX).",""
"what's the project timeline?","140 days total: 18d Requirements > 15d Design > 9d Prototype > 75d Development > 16d Testing > 7d Deployment.",""
"how do I access my files?","Via 'My Files' dashboard showing: 1) Upload timestamps 2) Access permissions 3) Verification status 4) Download history.",""
"are there mobile apps?","Currently web-only. Mobile applications for iOS/Android are planned for Phase 2 development.",""
"how is moderation handled?","Three-tier system: 1) Automated content flagging 2) Admin review panel 3) Smart contract-based account suspension.","https://www.nature.com/articles/s41598-024-69011-4"
"what about GDPR compliance?","We follow data minimization: No personal data collection, auto-deleting chats, and user-controlled file permissions.",""
"can I delete my files?","Yes, you can permanently remove files from IPFS and blockchain, triggering automatic storage reclamation.",""
"how does the chatbot work?","I'm an AI assistant trained on DShare documentation! Ask about features, troubleshooting, or security practices.",""
"what are the gas fees?","Ethereum transactions (uploads/reports) incur gas fees. We optimize costs through batch processing and off-peak operations.",""
"how to contribute storage?","Future feature: Stake ETH to become storage node, earning tokens for providing IPFS storage space.",""
"what file types are restricted?","Executables (.exe, .bat) are blocked. Suspicious formats (.js, .scr) undergo enhanced VirusTotal scanning.",""
"where is chat data stored?","Encrypted in MongoDB with automatic 24-hour expiration. Only message metadata (not content) is temporarily logged.",""
"how to contact support?","Use the in-app chatbot or email support@dshare.io. Critical issues: Report via 'Emergency' in user profile.",""
"what if I lose my MetaMask keys?","Without keys, you lose file access. We recommend secure backup solutions - DShare cannot recover lost credentials.",""
"how scalable is DShare?","IPFS handles horizontal scaling. Our benchmarks show 22,000+ users with 21M+ blocks processed efficiently.","https://ieeexplore.ieee.org/abstract/document/9086439"
"what audit measures exist?","Three-layer security: 1) Automated scans 2) Third-party smart contract audits 3) Bug bounty program.",""
"help","Popular questions:\n1. How to upload files?\n2. What is CID?\n3. How to report users?\n4. File size limits?\n5. Chat expiration?", ""
"how to upload files?","1) Login with MetaMask 2) Select files (max 100MB) 3) Set permissions 4) Confirm VirusTotal scan 5) Sign blockchain transaction.",""
"what are the storage costs?","Free for under 1GB. Premium tiers coming soon: 1GB-10GB ($5/month), 10GB+ ($0.50/GB/month) paid in crypto.",""
"how does DShare prevent Sybil attacks?","Through MetaMask authentication and stake-based reputation systems for storage providers.",""
"what metadata is stored on-chain?","Only essentials: File CIDs, owner wallet address, access permissions, and verification hashes - no file content.",""
"can governments block DShare?","Fully decentralized architecture makes domain blocking ineffective. Content remains accessible via IPFS hashes.",""
"how to download shared files?","1) Paste shared CID or link 2) Your wallet verifies permissions 3) Download initiates 4) Integrity check completes.",""
"what browsers are supported?","Chrome, Firefox, Brave with MetaMask extension. Mobile browsers have limited functionality.",""
"are there API integrations?","Developer API coming Q2 2025 for enterprise integration with audit trails and custom permissions.",""
"how long do files persist?","Files remain until deleted by owner or through automated DMCA processes. Consider permanent storage.",""
"what about environmental impact?","We use Ethereum's proof-of-stake chain (0.01% of legacy energy use) and optimize IPFS storage efficiency.",""
